epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
2.0,onoff,0.6,4.0,0.0042,177.09956858829702,0.00426,177.10564673241296,0.006000000000000016,0.0034320490808648074
2.0,onoff,0.6,8.0,0.03498,179.03743524178574,0.040139999999999995,179.49894955033153,0.5159999999999998,0.257775312700681
2.0,onoff,0.6,12.0,0.22136,189.3161562220067,0.22401999999999997,189.56537623060353,0.2659999999999968,0.13164222936397074
2.0,onoff,0.8,2.0,0.0016800000000000003,176.78369005750568,0.0016800000000000003,176.78369005750568,0.0,0.0
2.0,onoff,0.8,4.0,0.00404,176.8377118312224,0.004059999999999999,176.83769909629868,0.0019999999999999185,-7.201475071827446e-06
2.0,onoff,0.8,8.0,0.012480000000000002,177.31733339767794,0.01356,177.41574643122044,0.10799999999999976,0.05550107914253921
2.0,onoff,0.8,12.0,0.03762,179.2371984628207,0.04578,179.57922206268253,0.8160000000000001,0.19082177293281433
2.0,onoff,0.95,2.0,0.0009000000000000001,177.03026909553563,0.0009000000000000001,177.03026909553563,0.0,0.0
2.0,onoff,0.95,4.0,0.00184,177.0976480083457,0.00184,177.0976480083457,0.0,0.0
2.0,onoff,0.95,8.0,0.00472,177.39113380898237,0.00494,177.4171707231757,0.02199999999999997,0.01467768632752442
2.0,onoff,0.95,12.0,0.009819999999999999,177.91493523156674,0.01038,177.98270877515188,0.05600000000000015,0.038093228933777645
2.0,onoff,1.1,2.0,0.00132,176.97319232363566,0.00132,176.97319232363566,0.0,0.0
2.0,onoff,1.1,4.0,0.00236,177.030065575079,0.00236,177.030065575079,0.0,0.0
2.0,onoff,1.1,8.0,0.00852,177.48188033592663,0.00876,177.51744294695126,0.024000000000000063,0.02003731927864294
2.0,onoff,1.1,12.0,0.01446,177.89785418013906,0.01476,177.9467516834191,0.029999999999999992,0.027486280543054242
2.0,poisson,0.3,2.0,0.67418,130.47005352979653,0.67418,130.47005352979653,0.0,0.0
2.0,poisson,0.3,4.0,0.99914,130.47303742205943,0.9993000000000001,130.47309140860486,0.0160000000000049,4.1377549342414e-05
2.0,poisson,0.3,8.0,1.0,130.47306021732098,1.0,130.47306021732098,0.0,0.0
2.0,poisson,0.3,12.0,1.0,130.47306021732098,1.0,130.47306021732098,0.0,0.0
2.0,poisson,0.6,2.0,0.00066,177.15694564597044,0.00066,177.15694564597044,0.0,0.0
2.0,poisson,0.6,4.0,0.01064,177.69330898057382,0.01074,177.7005973263693,0.00999999999999994,0.004101643352405482
2.0,poisson,0.6,8.0,1.0,260.8970716361988,1.0,260.8970716361988,0.0,0.0
2.0,poisson,0.6,12.0,1.0,260.8970716361988,1.0,260.8970716361988,0.0,0.0
2.0,poisson,0.8,2.0,0.00041999999999999996,177.15878110251583,0.00041999999999999996,177.15878110251583,0.0,0.0
2.0,poisson,0.8,4.0,0.00294,177.3466884428364,0.00294,177.3466884428364,0.0,0.0
2.0,poisson,0.8,8.0,0.19994,196.4521227265387,0.35908,216.97521784379347,15.914,10.446868596998016
2.0,poisson,0.8,12.0,1.0,347.75918902317574,1.0,347.7604376407945,0.0,0.000359046621389858
2.0,poisson,0.95,2.0,0.00031999999999999997,177.1583006570713,0.00031999999999999997,177.1583006570713,0.0,0.0
2.0,poisson,0.95,4.0,0.00146,177.24955429996575,0.00146,177.24955429996575,0.0,0.0
2.0,poisson,0.95,8.0,0.02384,179.48900530848348,0.06388,183.75751202431098,4.0040000000000004,2.3781438358808193
2.0,poisson,0.95,12.0,0.31429999999999997,225.3092476660786,0.5519000000000001,276.7911886693371,23.76000000000001,22.849457595081812
2.0,poisson,1.1,2.0,0.00026,177.15600743696817,0.00026,177.15600743696817,0.0,0.0
2.0,poisson,1.1,4.0,0.00138,177.25030442537323,0.00138,177.25196639943005,0.0,0.0009376424273010997
2.0,poisson,1.1,8.0,0.00896,177.99961644255092,0.0102,178.14435023034895,0.12400000000000015,0.08131129195143583
2.0,poisson,1.1,12.0,0.04204,181.70294783350784,0.07561999999999999,186.08170442338664,3.357999999999999,2.4098434516819145
