epsilon_pp,pattern,load_factor,deadline_factor,policy,slo_mean,slo_std,throughput_mean,throughput_std,p95_latency_mean,p99_latency_mean,scheduler_overhead_mean_us,scheduler_overhead_p95_us,mean_batch_size,mean_r
0.5,onoff,0.6,8.0,joint_full,0.01632,0.01382197525681478,177.7814225119883,0.4789185936112613,16360.307881557927,17032.2473077021,38.10394497720984,45.03607999999999,1.0109323911118762,0.0
0.5,onoff,0.6,8.0,static_pomt,0.01632,0.01382197525681478,177.7814225119883,0.4789185936112613,16360.307881557927,17032.2473077021,36.611224421883,43.53039,1.0109323911118762,0.0
0.5,onoff,0.6,12.0,cliffserve,0.03814,0.01466025238527632,179.12776379651245,1.0612850000833378,15938.29369410333,16610.44328517044,38.0186646872896,45.083780000000004,1.028720912376407,0.0
0.5,onoff,0.6,12.0,decoupled,0.03814,0.01466025238527632,179.12776379651245,1.0612850000833378,15938.29369410333,16610.44328517044,36.65928647588709,43.39928,1.028720912376407,0.0
0.5,onoff,0.6,12.0,dense,0.03814,0.01466025238527632,179.12776379651245,1.0612850000833378,15938.29369410333,16610.44328517044,35.12117973319481,41.037189999999995,1.028720912376407,0.0
0.5,onoff,0.6,12.0,joint_full,0.03814,0.01466025238527632,179.12776379651245,1.0612850000833378,15938.29369410333,16610.44328517044,38.02743567909241,45.1708,1.028720912376407,0.0
0.5,onoff,0.6,12.0,static_pomt,0.03814,0.01466025238527632,179.12776379651245,1.0612850000833378,15938.29369410333,16610.44328517044,36.33140287419998,42.99993,1.028720912376407,0.0
0.5,onoff,0.8,2.0,cliffserve,0.0016800000000000003,0.0024843510218968655,176.78369005750568,0.6389491748581057,26693.604422416858,27906.668447414886,38.329579919318675,45.27454,1.0001600320076018,0.0
0.5,onoff,0.8,2.0,decoupled,0.0016800000000000003,0.0024843510218968655,176.78369005750568,0.6389491748581057,26693.604422416858,27906.668447414886,36.98248378821147,43.19219999999999,1.0001600320076018,0.0
0.5,onoff,0.8,2.0,dense,0.0016800000000000003,0.0024843510218968655,176.78369005750568,0.6389491748581057,26693.604422416858,27906.668447414886,35.35912126802927,41.80264000000001,1.0001600320076018,0.0
0.5,onoff,0.8,2.0,joint_full,0.0016800000000000003,0.0024843510218968655,176.78369005750568,0.6389491748581057,26693.604422416858,27906.668447414886,38.31462777180007,44.964,1.0001600320076018,0.0
0.5,onoff,0.8,2.0,static_pomt,0.0016800000000000003,0.0024843510218968655,176.78369005750568,0.6389491748581057,26693.604422416858,27906.668447414886,36.8026395026733,43.36828,1.0001600320076018,0.0
0.5,onoff,0.8,4.0,cliffserve,0.00392,0.005228479702552167,176.83576670125942,0.6230748997529268,26676.867497215444,27889.95196270386,38.372653231815335,45.07917,1.0013635438996047,0.0
0.5,onoff,0.8,4.0,decoupled,0.00392,0.005228479702552167,176.83576670125942,0.6230748997529268,26676.867497215444,27889.95196270386,37.11043204857463,44.14542,1.0013635438996047,0.0
0.5,onoff,0.8,4.0,dense,0.00392,0.005228479702552167,176.83576670125942,0.6230748997529268,26676.867497215444,27889.95196270386,35.48565806518873,42.208909999999996,1.0013635438996047,0.0
0.5,onoff,0.8,4.0,joint_full,0.00392,0.005228479702552167,176.83576670125942,0.6230748997529268,26676.867497215444,27889.95196270386,38.35742149714331,45.14396000000001,1.0013635438996047,0.0
0.5,onoff,0.8,4.0,static_pomt,0.00392,0.005228479702552167,176.83576670125942,0.6230748997529268,26676.867497215444,27889.95196270386,37.03730492297528,43.99519,1.0013635438996047,0.0
0.5,onoff,0.8,8.0,cliffserve,0.01004,0.011333490194992892,177.14873531664102,0.5182484551661012,26576.785268277563,27789.855172176252,38.28704634219659,44.824949999999994,1.005919726308378,0.0
0.5,onoff,0.8,8.0,decoupled,0.01004,0.011333490194992892,177.14873531664102,0.5182484551661012,26576.785268277563,27789.855172176252,37.17496219930426,44.29061,1.005919726308378,0.0
0.5,onoff,0.8,8.0,dense,0.01004,0.011333490194992892,177.14873531664102,0.5182484551661012,26576.785268277563,27789.855172176252,35.27942961174587,41.816500000000005,1.005919726308378,0.0
0.5,onoff,0.8,8.0,joint_full,0.01004,0.011333490194992892,177.14873531664102,0.5182484551661012,26576.785268277563,27789.855172176252,38.38380436714844,45.60141999999999,1.005919726308378,0.0
0.5,onoff,0.8,8.0,static_pomt,0.01004,0.011333490194992892,177.14873531664102,0.5182484551661012,26576.785268277563,27789.855172176252,36.82814470933638,42.802679999999995,1.005919726308378,0.0
0.5,onoff,0.8,12.0,cliffserve,0.01488,0.013806773699890936,177.44722065394973,0.6666498244957249,26481.951342503984,27694.934683511623,38.2710748974057,45.04971999999999,1.0099607266747188,0.0
0.5,onoff,0.8,12.0,decoupled,0.01488,0.013806773699890936,177.44722065394973,0.6666498244957249,26481.951342503984,27694.934683511623,36.93780144106354,43.39716999999999,1.0099607266747188,0.0
0.5,onoff,0.8,12.0,dense,0.01488,0.013806773699890936,177.44722065394973,0.6666498244957249,26481.951342503984,27694.934683511623,35.070851309125494,41.23049999999999,1.0099607266747188,0.0
0.5,onoff,0.8,12.0,joint_full,0.01488,0.013806773699890936,177.44722065394973,0.6666498244957249,26481.951342503984,27694.934683511623,38.15900122758095,44.4598,1.0099607266747188,0.0
0.5,onoff,0.8,12.0,static_pomt,0.01488,0.013806773699890936,177.44722065394973,0.6666498244957249,26481.951342503984,27694.934683511623,36.51629159802325,42.76106,1.0099607266747188,0.0
0.5,onoff,0.95,2.0,cliffserve,0.0009000000000000001,0.0008774964387392122,177.03026909553563,0.1947047309566664,29960.575208795268,31341.32824914587,38.64426432560473,45.4266,1.0002000560188067,0.0
0.5,onoff,0.95,2.0,decoupled,0.0009000000000000001,0.0008774964387392122,177.03026909553563,0.1947047309566664,29960.575208795268,31341.32824914587,37.15394379623226,43.26721,1.0002000560188067,0.0
0.5,onoff,0.95,2.0,dense,0.0009000000000000001,0.0008774964387392122,177.03026909553563,0.1947047309566664,29960.575208795268,31341.32824914587,35.350561722919466,41.6452,1.0002000560188067,0.0
0.5,onoff,0.95,2.0,joint_full,0.0009000000000000001,0.0008774964387392122,177.03026909553563,0.1947047309566664,29960.575208795268,31341.32824914587,38.49964767652499,44.816629999999996,1.0002000560188067,0.0
0.5,onoff,0.95,2.0,static_pomt,0.0009000000000000001,0.0008774964387392122,177.03026909553563,0.1947047309566664,29960.575208795268,31341.32824914587,37.21740029718658,43.87197999999999,1.0002000560188067,0.0
0.5,onoff,0.95,4.0,cliffserve,0.0018199999999999998,0.0013989281611290836,177.09492425932214,0.1589568347111087,29939.880454447462,31320.656187670113,38.47612177358203,44.716449999999995,1.000861019420705,0.0
0.5,onoff,0.95,4.0,decoupled,0.0018199999999999998,0.0013989281611290836,177.09492425932214,0.1589568347111087,29939.880454447462,31320.656187670113,37.19752387301741,43.463589999999996,1.000861019420705,0.0
0.5,onoff,0.95,4.0,dense,0.0018199999999999998,0.0013989281611290836,177.09492425932214,0.1589568347111087,29939.880454447462,31320.656187670113,35.19703928391859,41.23196,1.000861019420705,0.0
0.5,onoff,0.95,4.0,joint_full,0.0018199999999999998,0.0013989281611290836,177.09492425932214,0.1589568347111087,29939.880454447462,31320.656187670113,38.41222028833451,43.894850000000005,1.000861019420705,0.0
0.5,onoff,0.95,4.0,static_pomt,0.0018199999999999998,0.0013989281611290836,177.09492425932214,0.1589568347111087,29939.880454447462,31320.656187670113,37.18111512322535,43.7001,1.000861019420705,0.0
0.5,onoff,0.95,8.0,cliffserve,0.00372,0.0011519548602267366,177.26823213212202,0.19046454238468796,29884.577724950806,31265.324332342505,38.626852247151504,45.25166,1.0024662382041438,0.0
0.5,onoff,0.95,8.0,decoupled,0.00372,0.0011519548602267366,177.26823213212202,0.19046454238468796,29884.577724950806,31265.324332342505,37.262847329312805,43.71275,1.0024662382041438,0.0
0.5,onoff,0.95,8.0,dense,0.00372,0.0011519548602267366,177.26823213212202,0.19046454238468796,29884.577724950806,31265.324332342505,35.24292177507362,40.806219999999996,1.0024662382041438,0.0
0.5,onoff,0.95,8.0,joint_full,0.00372,0.0011519548602267366,177.26823213212202,0.19046454238468796,29884.577724950806,31265.324332342505,38.46639433639475,44.97218,1.0024662382041438,0.0
0.5,onoff,0.95,8.0,static_pomt,0.00372,0.0011519548602267366,177.26823213212202,0.19046454238468796,29884.577724950806,31265.324332342505,36.786493319179456,43.17178,1.0024662382041438,0.0
0.5,onoff,0.95,12.0,cliffserve,0.006820000000000001,0.00308496353300975,177.54496502984784,0.39917223111539013,29796.970309587603,31177.596778418054,38.42164605135273,44.99423999999999,1.0051522980263035,0.0
0.5,onoff,0.95,12.0,decoupled,0.006820000000000001,0.00308496353300975,177.54496502984784,0.39917223111539013,29796.970309587603,31177.596778418054,37.137190087500024,43.494409999999995,1.0051522980263035,0.0
0.5,onoff,0.95,12.0,dense,0.006820000000000001,0.00308496353300975,177.54496502984784,0.39917223111539013,29796.970309587603,31177.596778418054,35.506094059337876,41.89361,1.0051522980263035,0.0
0.5,onoff,0.95,12.0,joint_full,0.006820000000000001,0.00308496353300975,177.54496502984784,0.39917223111539013,29796.970309587603,31177.596778418054,38.469301528882376,45.10489,1.0051522980263035,0.0
0.5,onoff,0.95,12.0,static_pomt,0.006820000000000001,0.00308496353300975,177.54496502984784,0.39917223111539013,29796.970309587603,31177.596778418054,37.170289953969885,43.85558999999999,1.0051522980263035,0.0
0.5,onoff,1.1,2.0,cliffserve,0.00132,0.001605303709582707,176.97319232363566,0.2722803431853325,33367.81181353268,34816.1165616267,38.71302883603671,45.90153,1.0002601340818533,0.0
0.5,onoff,1.1,2.0,decoupled,0.00132,0.001605303709582707,176.97319232363566,0.2722803431853325,33367.81181353268,34816.1165616267,37.252143117062325,43.451499999999996,1.0002601340818533,0.0
0.5,onoff,1.1,2.0,dense,0.00132,0.001605303709582707,176.97319232363566,0.2722803431853325,33367.81181353268,34816.1165616267,35.55492914642667,41.82804,1.0002601340818533,0.0
