epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
1.0,onoff,1.1,4.0,0.00352,175.42579735481814,0.00352,175.42579735481814,0.0,0.0
1.0,onoff,1.1,8.0,0.01218,176.74707750482008,0.01226,176.76032266362958,0.008000000000000021,0.007493848835560257
1.0,onoff,1.1,12.0,0.030440000000000002,179.46477586501592,0.030680000000000002,179.5055964525173,0.024000000000000063,0.02274573787788281
1.0,poisson,0.3,2.0,0.00054,174.97251280564888,0.00054,174.97251280564888,0.0,0.0
1.0,poisson,0.3,4.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
1.0,poisson,0.3,8.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
1.0,poisson,0.3,12.0,1.0,496.3945049572415,1.0,496.3945049572415,0.0,0.0
1.0,poisson,0.6,2.0,0.00074,175.01494059274654,0.00074,175.01494059274654,0.0,0.0
1.0,poisson,0.6,4.0,0.13140000000000002,197.20918402122678,0.17702,209.27599926494486,4.561999999999999,6.118789702217553
1.0,poisson,0.6,8.0,1.0,991.7473112027992,1.0,991.7473112027992,0.0,0.0
1.0,poisson,0.6,12.0,1.0,991.7473112027992,1.0,991.7473112027992,0.0,0.0
1.0,poisson,0.8,2.0,0.00058,174.99489497443605,0.00058,174.99489497443605,0.0,0.0
1.0,poisson,0.8,4.0,0.00778,176.06030559155528,0.0089,176.23332003566588,0.11200000000000003,0.09826998966591116
1.0,poisson,0.8,8.0,1.0,1320.7658470604526,1.0,1320.8729493856238,0.0,0.008109107712739316
1.0,poisson,0.8,12.0,1.0,1320.8708421529425,1.0,1320.8708421529425,0.0,0.0
1.0,poisson,0.95,2.0,0.0007,175.0124006442474,0.0007,175.0124006442474,0.0,0.0
1.0,poisson,0.95,4.0,0.0058200000000000005,175.77936456620083,0.0061400000000000005,175.82984866906605,0.032,0.02872015323858168
1.0,poisson,0.95,8.0,0.12862,199.22244119707213,0.12942,199.40948126951102,0.07999999999999952,0.09388504192349156
1.0,poisson,0.95,12.0,0.9777799999999999,1418.6679409104177,0.9777799999999999,1418.664497821088,0.0,-0.00024269874792093304
1.0,poisson,1.1,2.0,0.00046,174.9806205850669,0.00046,174.9806205850669,0.0,0.0
1.0,poisson,1.1,4.0,0.0047,175.61236932542218,0.00486,175.6388433836762,0.015999999999999955,0.015075281061194268
1.0,poisson,1.1,8.0,0.028300000000000002,179.37809258741157,0.02966,179.60036814746178,0.13599999999999968,0.12391455213065505
1.0,poisson,1.1,12.0,0.0779,188.23089640489616,0.07949999999999999,188.5765464474795,0.15999999999999903,0.18363087526280797
2.0,onoff,0.3,2.0,0.00198,174.81569991903672,0.00198,174.81569991903672,0.0,0.0
2.0,onoff,0.3,4.0,0.40248,241.1148626337802,0.63822,331.11925357956477,23.574,37.32842926505475
2.0,onoff,0.3,8.0,1.0,489.7161017138713,1.0,489.7161017138713,0.0,0.0
2.0,onoff,0.3,12.0,1.0,489.7161017138713,1.0,489.7161017138713,0.0,0.0
2.0,onoff,0.6,2.0,0.0009000000000000001,175.00562123299582,0.0009000000000000001,175.00562123299582,0.0,0.0
2.0,onoff,0.6,4.0,0.00572,175.67071560310052,0.006039999999999999,175.72180670613525,0.03199999999999991,0.029083449030942177
2.0,onoff,0.6,8.0,0.9684799999999999,992.6727154014291,0.96968,994.4807941718138,0.12000000000000899,0.1821424868773125
2.0,onoff,0.6,12.0,1.0,1073.7374452872862,1.0,1073.7374452872862,0.0,0.0
2.0,onoff,0.8,2.0,0.0009400000000000001,175.03004658296027,0.0009400000000000001,175.03004658296027,0.0,0.0
2.0,onoff,0.8,4.0,0.00528,175.62397191160957,0.00544,175.65276496979203,0.016000000000000042,0.016394719848911166
2.0,onoff,0.8,8.0,0.037739999999999996,180.69813101896972,0.04738,182.42419216053958,0.9640000000000003,0.955218037860428
2.0,onoff,0.8,12.0,0.29708,244.30816016979625,0.39428,314.12018365294807,9.72,28.575395694778205
2.0,onoff,0.95,2.0,0.00092,175.0326896525909,0.00092,175.0326896525909,0.0,0.0
2.0,onoff,0.95,4.0,0.004960000000000001,175.60571596198588,0.00504,175.62246253720616,0.007999999999999934,0.009536463621673263
2.0,onoff,0.95,8.0,0.022,178.33539054715902,0.0356,180.5797339019943,1.36,1.2584957747025394
2.0,onoff,0.95,12.0,0.06558,185.86015272825608,0.06938,186.5840905944005,0.3799999999999998,0.3895067638316707
2.0,onoff,1.1,2.0,0.00052,174.99378807187216,0.00052,174.99378807187216,0.0,0.0
2.0,onoff,1.1,4.0,0.00506,175.62315522646588,0.00538,175.67990901541458,0.032,0.03231566411361353
