model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_small_patch16_224,8,32,165,164,10.331489238739014,10.331343650817871,10.347251033782959,10.353843450546265,10.361536674499511,0.013676240340116405,774.3426480026814,772.6599342757034,75.35,1507,2000,75.2,-0.14999999999999147,0.6925641476912366,True
deit_small_patch16_224,8,48,149,148,10.338047974904379,10.338799953460693,10.357602977752686,10.361043071746826,10.371364889144898,0.014728931096008622,773.7841950720954,772.1230328454986,74.85,1497,2000,75.2,0.3500000000000085,0.6920829027542222,False
deit_small_patch16_224,8,64,133,132,10.217180792490641,10.21833610534668,10.234975910186767,10.238878393173218,10.253676815032959,0.014637090863027535,782.9063281461305,781.3355811837757,74.7,1494,2000,75.2,0.5,0.7003404561809365,False
deit_small_patch16_224,8,80,117,116,10.205118923187255,10.201504230499268,10.22626256942749,10.241305494308472,10.366719827651977,0.029513199286157015,784.1980769936391,781.1504113851441,74.2,1484,2000,75.2,1.0,0.7001744815288568,False
deit_small_patch16_224,8,96,101,100,10.229289398193359,10.23361587524414,10.251773071289062,10.255086278915405,10.266261234283448,0.032765052481219546,781.7373739181065,780.1007014878176,73.7,1474,2000,75.2,1.5,0.6992335870834284,False
deit_small_patch16_224,8,112,85,84,10.232775243123372,10.230576038360596,10.24909143447876,10.252824211120606,10.327050876617431,0.023401808335950573,781.9696535173756,780.2728141308512,73.1,1462,2000,75.2,2.1000000000000085,0.6993878581160545,False
deit_small_patch16_224,8,128,69,68,10.25044287999471,10.24824047088623,10.265395355224609,10.27174391746521,10.387724370956422,0.026913382429163617,780.6218074924026,778.8356158682532,71.35,1427,2000,75.2,3.8500000000000085,0.6980996432809826,False
deit_small_patch16_224,8,144,53,52,10.234029394785564,10.234384059906006,10.25051212310791,10.255207777023315,10.260764846801758,0.013499654487884793,781.6786973375976,780.091459280222,69.25,1385,2000,75.2,5.950000000000003,0.6992253029452944,False
deit_small_patch16_224,16,0,197,196,12.733317082722982,12.631791591644287,12.982185745239258,13.079500770568847,13.431704301834106,0.17924595353625786,1266.6453435301867,1223.2882799321198,75.2,1504,2000,75.2,0.0,1.0,True
deit_small_patch16_224,16,16,181,180,14.519510389963786,14.4650239944458,14.630374717712403,14.653337812423706,14.870572147369383,0.09291600152502112,1106.1163815658786,1091.9013950824594,75.2,1504,2000,75.2,0.0,0.8925953211478893,False
deit_small_patch16_224,16,32,165,164,13.846218910217285,13.81491231918335,13.972115516662598,13.981147193908692,14.034863147735596,0.07785295465362971,1158.1687693943916,1144.3982226988414,75.35,1507,2000,75.2,-0.14999999999999147,0.9355098397266947,True
deit_small_patch16_224,16,48,149,148,13.107829570770264,13.101840019226074,13.244518375396728,13.253681993484497,13.26712607383728,0.06763543845499494,1221.2025163275594,1207.2117022172097,74.9,1498,2000,75.2,0.29999999999999716,0.9868578993368577,False
deit_small_patch16_224,16,64,133,132,12.087484334309895,12.098512172698975,12.170025444030761,12.251289892196654,12.324126501083374,0.0845511451999497,1322.4766625523566,1305.9849322634225,74.7,1494,2000,75.2,0.5,1.0676019329931712,True
deit_small_patch16_224,16,80,117,116,11.54220609664917,11.539616107940674,11.5778302192688,11.584795236587524,11.60746521949768,0.02509635958478855,1386.5279269550426,1381.1206562778266,74.25,1485,2000,75.2,0.9500000000000028,1.129023043002149,True
deit_small_patch16_224,16,96,101,100,11.459171638488769,11.458799839019775,11.496105861663818,11.499987316131591,11.509092464447022,0.026388187393793488,1396.3067882132318,1391.3058823600634,73.75,1475,2000,75.2,1.4500000000000028,1.1373491475265887,True
deit_small_patch16_224,16,112,85,84,11.402965799967449,11.401103973388672,11.427766609191895,11.43917145729065,11.552386283874512,0.03331439286043337,1403.3728696225924,1398.7026997311548,73.05,1461,2000,75.2,2.1500000000000057,1.1433958149331478,True
deit_small_patch16_224,16,128,69,68,11.207949632008871,11.209120273590088,11.23365135192871,11.239185523986816,11.24993327140808,0.01944356879391753,1427.4090748850067,1423.5907011102,71.4,1428,2000,75.2,3.799999999999997,1.163740979509094,True
deit_small_patch16_224,16,144,53,52,11.158880685170491,11.160304069519043,11.173885059356689,11.176596689224244,11.18895378112793,0.01959161983600446,1433.6526944368036,1431.562795446146,69.2,1384,2000,75.2,6.0,1.1702579178847226,True
