model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_base_patch16_224,32,48,149,148,72.32152346293131,72.48544311523438,72.60263519287109,72.67004013061523,73.02510200500488,0.3174591525575274,441.4679503183517,440.3465299108688,70.31,7031,10000,71.19,0.8799999999999955,1.06337659576646,True
deit_base_patch16_224,32,64,133,132,65.53316452026367,65.49386978149414,65.72928390502929,65.89432106018066,66.13497611999512,0.1690195600065544,488.5953465074051,485.6260673931932,69.92,6992,10000,71.19,1.269999999999996,1.1727204809915346,True
deit_base_patch16_224,32,80,117,116,60.94268380482992,60.88889694213867,61.51184387207032,61.56682415008545,61.59829204559326,0.3073901357955451,525.5473757458419,519.7604463402484,69.21,6921,10000,71.19,1.980000000000004,1.2551503338864103,True
deit_base_patch16_224,32,96,101,100,56.91938781738281,56.846336364746094,57.2584945678711,57.27784042358398,57.2960039138794,0.2474465189876334,562.9210613446879,558.6802812981771,68.2,6820,10000,71.19,2.989999999999995,1.3491364080215507,True
deit_base_patch16_224,32,112,85,84,51.95930324554443,51.94334411621094,52.14531364440918,52.374617385864255,52.52382053375244,0.1768233555209346,616.055830529655,610.9829836892842,66.44,6644,10000,71.19,4.75,1.4754402751811246,True
deit_base_patch16_224,32,128,69,68,45.7949617767334,45.76646423339844,46.09689559936523,46.13740997314453,46.17455093383789,0.2114190222682476,699.2019273502834,693.5803292518247,63.68,6368,10000,71.19,7.509999999999998,1.6749015589146843,True
deit_base_patch16_224,32,144,53,52,41.65170330047607,41.6704158782959,41.81279029846191,41.88756790161133,41.96290882110596,0.1612491400544316,767.9309007488752,763.9498209865994,58.67,5867,10000,71.19,12.519999999999996,1.844834249384363,True
deit_base_patch16_224,48,0,197,196,115.2526719156901,115.39347076416016,115.51404876708985,115.58706512451172,116.20444519042968,0.3534931982093617,415.96807585501824,415.2713796158233,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,48,48,149,148,105.10926394144694,105.13177490234376,105.79261093139648,105.992342376709,106.2602170562744,0.4756909146675317,456.5698623901946,452.862904278523,70.31,7031,10000,71.19,0.8799999999999955,1.090522791860774,True
deit_base_patch16_224,48,64,133,132,96.75394434611005,96.69713592529295,97.09031982421877,97.12523040771484,97.33128936767578,0.23199434479227,496.39526073537706,494.2073218102479,69.91,6991,10000,71.19,1.2800000000000011,1.1900827893977426,True
deit_base_patch16_224,48,80,117,116,88.38275337219238,88.4384651184082,88.84703750610352,89.09906120300293,89.34222518920899,0.3805823769293378,542.7502607121677,538.7262149781466,69.23,6923,10000,71.19,1.9599999999999937,1.2972871269783486,True
deit_base_patch16_224,48,96,101,100,81.65346117655436,81.72012710571289,82.03129425048829,82.14933547973632,82.52138305664063,0.3512089460531576,587.3705988967364,584.3017441308469,68.19,6819,10000,71.19,3.0,1.407035911483708,True
deit_base_patch16_224,48,112,85,84,73.79052551269531,73.78819274902344,74.07182083129882,74.16653442382812,74.24523483276367,0.203410409012005,650.5105791554336,647.1921652116271,66.43,6643,10000,71.19,4.759999999999991,1.5584800614247936,True
